OBJECTID,GEOID,STATE,COUNTY,NAME,STUSAB,STATE_NAME,ALL_PERMITS_1980,ALL_PERMITS_1981,ALL_PERMITS_1982,ALL_PERMITS_1983,ALL_PERMITS_1984,ALL_PERMITS_1985,ALL_PERMITS_1986,ALL_PERMITS_1987,ALL_PERMITS_1988,ALL_PERMITS_1989,ALL_PERMITS_1990,ALL_PERMITS_1991,ALL_PERMITS_1992,ALL_PERMITS_1993,ALL_PERMITS_1994,ALL_PERMITS_1995,ALL_PERMITS_1996,ALL_PERMITS_1997,ALL_PERMITS_1998,ALL_PERMITS_1999,ALL_PERMITS_2000,ALL_PERMITS_2001,ALL_PERMITS_2002,ALL_PERMITS_2003,ALL_PERMITS_2004,ALL_PERMITS_2005,ALL_PERMITS_2006,ALL_PERMITS_2007,ALL_PERMITS_2008,ALL_PERMITS_2009,ALL_PERMITS_2010,ALL_PERMITS_2011,ALL_PERMITS_2012,ALL_PERMITS_2013,ALL_PERMITS_2014,ALL_PERMITS_2015,ALL_PERMITS_2016,ALL_PERMITS_2017,ALL_PERMITS_2018,ALL_PERMITS_2019,ALL_PERMITS_2020,ALL_PERMITS_2021,ALL_PERMITS_2022
880,47141,47,141,Putnam,TN,Tennessee,209.0,58.0,81.0,184.0,211.0,268.0,383.0,277.0,355.0,193.0,173.0,171.0,224.0,235.0,434.0,388.0,253.0,174.0,114.0,164.0,243.0,111.0,469.0,615.0,512.0,715.0,604.0,510.0,563.0,376.0,282.0,299.0,262.0,282.0,424.0,563.0,720.0,543.0,496.0,552.0,588.0,584,595.0
881,47049,47,49,Fentress,TN,Tennessee,1.0,59.0,5.0,29.0,12.0,13.0,32.0,2.0,1.0,1.0,33.0,5.0,44.0,18.0,4.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0.0
980,47157,47,157,Shelby,TN,Tennessee,3511.0,1685.0,2163.0,4672.0,7693.0,8812.0,6991.0,6307.0,5956.0,6395.0,4217.0,3975.0,4823.0,5221.0,4892.0,6118.0,6507.0,4175.0,5094.0,6842.0,6734.0,4760.0,5336.0,5510.0,5526.0,5716.0,5118.0,4325.0,1550.0,894.0,1548.0,1400.0,2325.0,2172.0,1516.0,2325.0,2338.0,1692.0,2251.0,1255.0,1878.0,2059,1870.0
1002,47123,47,123,Monroe,TN,Tennessee,49.0,45.0,47.0,58.0,50.0,65.0,59.0,58.0,45.0,51.0,88.0,62.0,119.0,112.0,165.0,134.0,143.0,157.0,184.0,173.0,136.0,133.0,166.0,184.0,236.0,276.0,238.0,178.0,114.0,75.0,110.0,53.0,59.0,77.0,74.0,66.0,80.0,95.0,109.0,163.0,212.0,215,182.0
1004,47155,47,155,Sevier,TN,Tennessee,98.0,213.0,222.0,446.0,421.0,354.0,326.0,219.0,251.0,138.0,263.0,138.0,227.0,175.0,203.0,390.0,434.0,251.0,396.0,487.0,485.0,455.0,605.0,580.0,570.0,838.0,836.0,520.0,349.0,141.0,120.0,198.0,155.0,94.0,248.0,319.0,471.0,801.0,1040.0,1654.0,1155.0,1069,1494.0
1005,47089,47,89,Jefferson,TN,Tennessee,34.0,124.0,42.0,29.0,5.0,27.0,34.0,16.0,4.0,13.0,38.0,42.0,66.0,174.0,193.0,323.0,286.0,216.0,309.0,376.0,320.0,300.0,365.0,387.0,468.0,463.0,417.0,472.0,161.0,138.0,124.0,76.0,78.0,118.0,98.0,109.0,143.0,135.0,157.0,263.0,212.0,330,578.0
1074,47047,47,47,Fayette,TN,Tennessee,86.0,68.0,61.0,75.0,102.0,102.0,171.0,169.0,175.0,137.0,170.0,193.0,289.0,195.0,210.0,200.0,218.0,219.0,264.0,233.0,162.0,158.0,152.0,341.0,664.0,708.0,670.0,660.0,277.0,119.0,159.0,125.0,187.0,210.0,235.0,236.0,360.0,315.0,328.0,406.0,510.0,490,459.0
1083,47109,47,109,McNairy,TN,Tennessee,69.0,9.0,5.0,13.0,9.0,49.0,17.0,35.0,28.0,30.0,18.0,22.0,19.0,28.0,23.0,24.0,33.0,27.0,24.0,27.0,23.0,26.0,18.0,27.0,28.0,31.0,27.0,24.0,13.0,11.0,72.0,8.0,17.0,2.0,11.0,3.0,5.0,6.0,6.0,6.0,4.0,5,5.0
1084,47183,47,183,Weakley,TN,Tennessee,69.0,29.0,53.0,23.0,83.0,43.0,24.0,33.0,38.0,48.0,54.0,44.0,89.0,189.0,202.0,205.0,170.0,190.0,192.0,222.0,136.0,141.0,108.0,71.0,102.0,111.0,92.0,81.0,65.0,52.0,58.0,35.0,36.0,53.0,33.0,23.0,37.0,41.0,55.0,48.0,61.0,64,63.0
1097,47173,47,173,Union,TN,Tennessee,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,40.0,32.0,65.0,57.0,60.0,134.0,133.0,172.0,132.0,125.0,111.0,106.0,162.0,117.0,133.0,155.0,319.0,131.0,78.0,58.0,76.0,45.0,67.0,49.0,50.0,64.0,78.0,97.0,100.0,96.0,97.0,123,117.0
1098,47063,47,63,Hamblen,TN,Tennessee,125.0,83.0,128.0,121.0,125.0,39.0,67.0,83.0,123.0,49.0,100.0,72.0,81.0,360.0,409.0,442.0,415.0,430.0,417.0,327.0,308.0,292.0,159.0,211.0,238.0,284.0,267.0,254.0,178.0,79.0,80.0,58.0,89.0,53.0,53.0,79.0,93.0,133.0,145.0,134.0,270.0,581,322.0
1193,47167,47,167,Tipton,TN,Tennessee,224.0,19.0,30.0,44.0,121.0,109.0,72.0,137.0,178.0,311.0,341.0,451.0,503.0,591.0,506.0,524.0,458.0,469.0,604.0,681.0,483.0,503.0,660.0,512.0,606.0,626.0,557.0,394.0,177.0,300.0,100.0,61.0,91.0,114.0,138.0,105.0,155.0,159.0,183.0,172.0,233.0,263,177.0
1194,47095,47,95,Lake,TN,Tennessee,11.0,8.0,12.0,6.0,4.0,31.0,7.0,10.0,10.0,8.0,18.0,11.0,56.0,25.0,17.0,16.0,6.0,23.0,22.0,23.0,7.0,2.0,6.0,7.0,8.0,10.0,10.0,9.0,9.0,6.0,7.0,9.0,7.0,6.0,6.0,6.0,1.0,4.0,2.0,7.0,0.0,5,2.0
1220,47055,47,55,Giles,TN,Tennessee,10.0,17.0,12.0,23.0,23.0,82.0,6.0,8.0,22.0,24.0,18.0,24.0,49.0,43.0,27.0,66.0,51.0,48.0,26.0,26.0,49.0,105.0,10.0,16.0,58.0,14.0,17.0,16.0,13.0,10.0,5.0,4.0,8.0,59.0,68.0,68.0,79.0,95.0,103.0,104.0,123.0,178,165.0
1223,47159,47,159,Smith,TN,Tennessee,10.0,4.0,23.0,27.0,18.0,36.0,6.0,39.0,56.0,65.0,62.0,81.0,57.0,74.0,93.0,67.0,84.0,124.0,54.0,75.0,55.0,73.0,73.0,70.0,26.0,163.0,81.0,97.0,62.0,37.0,47.0,25.0,33.0,30.0,66.0,41.0,62.0,69.0,77.0,75.0,101.0,124,126.0
